ID,类型,功率,Z轴高度,加工时间,加工日期,是否合格	
X-20240522-0,X,100,30,00:00:00.0015377,2024/5/22 9:16:07,True	
X-20240522-1,X,100,30,00:00:00.0014097,2024/5/22 9:16:28,True	
X-20240522-2,X,100,30,00:00:00.0014384,2024/5/22 9:16:29,True	
X-20240522-3,X,100,30,00:00:00.0014099,2024/5/22 9:16:30,True	
X-20240522-4,X,100,30,00:00:00.0014257,2024/5/22 9:16:30,True	
X-20240522-5,X,100,30,00:00:00.0014115,2024/5/22 9:16:31,True	
X-20240522-6,X,100,30,00:00:00.0014121,2024/5/22 9:16:31,True	
X-20240522-7,X,100,30,00:00:00.0014074,2024/5/22 9:16:32,True	
X-20240522-8,X,100,30,00:00:00.0020222,2024/5/22 9:16:32,True	
X-20240522-9,X,100,30,00:00:00.0014455,2024/5/22 9:16:33,True	
X-20240522-10,X,100,30,00:00:00.0014359,2024/5/22 9:16:33,True	
X-20240522-11,X,100,30,00:00:00.0023330,2024/5/22 9:16:34,True	
X-20240522-12,X,100,30,00:00:00.0015036,2024/5/22 9:16:34,True	
X-20240522-13,X,100,30,00:00:00.0014281,2024/5/22 9:16:35,True	
X-20240522-14,X,100,30,00:00:00.0014405,2024/5/22 9:16:36,True	
X-20240522-0,X,40,30,00:00:00.0002829,2024/5/22 9:58:20,True	
X-20240522-1,X,40,30,00:00:00.0001075,2024/5/22 9:58:24,True	
